datetime,source,event_type,impact,news_sentiment,combined_score,sentiment,confidence,reasons,numeric
,AI,"Novartis nears $70-plus per share deal to acquire Avidity Biosciences, Bloomberg News reports",0,0.0,0,Bullish,0.8,Acquisition indicates strong growth potential for Novartis.; Avidity Biosciences may bring valuable assets or technology to Novartis.; Market often reacts positively to strategic acquisitions that enhance company value.,1
,AI,Saudi Arabia stocks lower at close of trade; Tadawul All Share down 0.16%,0,0.0,0,Bearish,0.8,"Saudi Arabia stocks closed lower, indicating negative market performance.; The Tadawul All Share index decreased by 0.16%, reflecting investor pessimism.; A decline in stock prices often signals bearish sentiment among traders.",-1
,AI,"HD Hyundai Heavy, Huntington Ingalls to jointly build U.S. navy auxiliary ships",0,0.0,0,Bullish,0.8,共同プロジェクトは防衛産業の成長を示唆している。; 米国政府の軍事支出の増加が期待される。; HD Hyundai HeavyとHuntington Ingallsの提携は、両社の市場競争力を高める可能性がある。,1
,AI,"Volkswagen is ok on chip supply for now, CEO tells Bild am Sonntag",0,0.0,0,Bullish,0.8,Volkswagen's assurance on chip supply indicates stability in production.; Positive news can boost investor confidence in the company's operational capabilities.; A stable supply chain may lead to improved sales and profitability.,1
,AI,"Kremlin: Wrong to talk about cancellation of Putin-Trump summit, agencies report",0,0.0,0,Neutral,0.7,"The statement indicates that discussions about the summit are ongoing, suggesting stability in diplomatic relations.; No definitive positive or negative outcomes are presented, leading to a neutral sentiment.; The focus on the summit implies that both parties are still engaged, which does not strongly favor either bullish or bearish sentiment.",0
,AI,Are fears of OpenAI’s Google/internet disruption overblown?,0,0.0,0,Neutral,0.6,"The question suggests uncertainty about the impact of OpenAI on Google and the internet, indicating mixed sentiments.; There is no definitive positive or negative outcome presented, leading to a neutral stance.; Market reactions may vary based on individual interpretations of the potential disruption.",0
,AI,American Airlines to resume flights to Israel amid Gaza ceasefire,0,0.0,0,Bullish,0.8,"The resumption of flights indicates a stabilization in the region, which can boost tourism and business travel.; A ceasefire suggests a reduction in geopolitical tensions, positively impacting investor sentiment.; Increased airline operations can lead to higher revenues for American Airlines and related sectors.",1
,AI,"5 big analyst AI moves: Apple lifted to Buy, AI chip bets reassessed",0,0.0,0,Bullish,0.8,Apple being upgraded to 'Buy' indicates positive sentiment from analysts.; Reassessment of AI chip bets suggests growing confidence in AI technology and its market potential.; Overall positive analyst moves can lead to increased investor interest and market optimism.,1
,AI,Will 2025 mark the end of a long period of EM underperformance?,0,0.0,0,Bullish,0.7,"The question suggests a potential turnaround for emerging markets (EM), indicating optimism.; A focus on the end of underperformance implies that improvements or positive changes may be anticipated.; Market participants may view 2025 as a pivotal year for growth opportunities in EM.",1
,AI,Drone boom looks more like an arms race than a bubble,0,0.0,0,Bearish,0.8,軍事用途の拡大は規制や倫理的懸念を引き起こす可能性がある。; 競争が激化することで企業の利益率が圧迫される恐れがある。; 市場が過熱し、持続可能な成長が難しくなるリスクがある。,-1
,AI,Why Trump’s new White House ballroom may actually cost taxpayers up to $110 million,0,0.0,0,Neutral,0.7,"The news discusses potential costs related to a government project, which does not directly impact market performance.; Taxpayer costs may raise concerns but do not indicate a clear positive or negative market sentiment.; The focus is on a specific government expenditure rather than broader economic indicators or corporate performance.",0
,AI,"I received an inheritance from my father’s estate, but the executor wants me to give it back. What should I do?",0,0.0,0,Neutral,0.7,The situation involves a personal legal matter rather than a direct impact on financial markets.; Inheritance disputes are common and do not typically influence market sentiment.; The outcome of the situation is uncertain and does not provide clear bullish or bearish signals.,0
,AI,"Target might be cutting jobs, but its ‘kitchen sink’ moment hasn’t hit yet",0,0.0,0,Bearish,0.75,"Job cuts typically indicate financial distress or cost-cutting measures, which can negatively impact investor sentiment.; The mention of a 'kitchen sink' moment suggests that worse news may be forthcoming, increasing uncertainty.; Overall, the potential for job losses can lead to decreased consumer spending, further affecting the company's performance.",-1
